lat,lon,Year,Month,precipf
35.25,-99.75,2006,5,2.630635428802647e-05
35.25,-99.75,2006,6,1.7772317537871155e-05
35.25,-99.75,2006,7,3.417704818325033e-05
35.25,-99.75,2006,8,4.772298373161503e-05
35.25,-99.75,2006,9,1.9246321551709875e-05
35.25,-99.75,2007,5,6.395336135809768e-05
35.25,-99.75,2007,6,5.1299486852052215e-05
35.25,-99.75,2007,7,2.942540934635837e-05
35.25,-99.75,2007,8,2.978289897164414e-05
35.25,-99.75,2007,9,4.0221225166507205e-05
35.25,-99.75,2008,5,3.630693593902012e-05
35.25,-99.75,2008,6,3.9359797382113965e-05
35.25,-99.75,2008,7,2.1887854799328098e-05
35.25,-99.75,2008,8,3.704127944701798e-05
35.25,-99.75,2008,9,1.4564991629580949e-05
35.25,-99.75,2009,5,1.934454839651457e-05
35.25,-99.75,2009,6,2.7554572582744186e-05
35.25,-99.75,2009,7,2.829450662584203e-05
35.25,-99.75,2009,8,6.278252205983759e-05
35.25,-99.75,2009,9,2.478541030509785e-05
35.25,-99.75,2010,5,4.318326712252947e-05
35.25,-99.75,2010,6,3.3127708364981645e-05
35.25,-99.75,2010,7,4.1902370163928656e-05
35.25,-99.75,2010,8,2.6947545625940098e-05
35.25,-99.75,2010,9,3.07080630353065e-05
35.25,-99.25,2006,5,2.717324554919608e-05
35.25,-99.25,2006,6,1.8825009911438427e-05
35.25,-99.25,2006,7,3.085221459241072e-05
35.25,-99.25,2006,8,4.294262704082171e-05
35.25,-99.25,2006,9,2.197005624940592e-05
35.25,-99.25,2007,5,6.141158577955436e-05
35.25,-99.25,2007,6,5.876487948475173e-05
35.25,-99.25,2007,7,3.160164514701404e-05
35.25,-99.25,2007,8,3.273257017152416e-05
35.25,-99.25,2007,9,4.5985949246111586e-05
35.25,-99.25,2008,5,3.732343805544984e-05
35.25,-99.25,2008,6,4.0731922507575294e-05
35.25,-99.25,2008,7,1.6837486392265902e-05
35.25,-99.25,2008,8,3.5770986992071844e-05
35.25,-99.25,2008,9,1.3213487101942981e-05
35.25,-99.25,2009,5,2.3324654457846534e-05
35.25,-99.25,2009,6,2.6977492374650562e-05
35.25,-99.25,2009,7,2.7677463943716923e-05
35.25,-99.25,2009,8,5.6866688645015064e-05
35.25,-99.25,2009,9,2.8770007283392535e-05
35.25,-99.25,2010,5,4.826846976332843e-05
35.25,-99.25,2010,6,3.37702854860341e-05
35.25,-99.25,2010,7,3.225763072871716e-05
35.25,-99.25,2010,8,2.7851320837111244e-05
35.25,-99.25,2010,9,3.7782020790218714e-05
35.25,-98.75,2006,5,2.8079013717736474e-05
35.25,-98.75,2006,6,2.022410125116873e-05
35.25,-98.75,2006,7,2.4733189876899948e-05
35.25,-98.75,2006,8,3.84302517800499e-05
35.25,-98.75,2006,9,2.545715181838659e-05
35.25,-98.75,2007,5,6.118618059067484e-05
35.25,-98.75,2007,6,6.967628250542646e-05
35.25,-98.75,2007,7,3.481776574294636e-05
35.25,-98.75,2007,8,3.48362146921534e-05
35.25,-98.75,2007,9,5.1862560018633984e-05
35.25,-98.75,2008,5,3.7550914535081174e-05
35.25,-98.75,2008,6,4.3130248349972554e-05
35.25,-98.75,2008,7,1.2942655531569545e-05
35.25,-98.75,2008,8,3.594478464826063e-05
35.25,-98.75,2008,9,1.1391786502433788e-05
35.25,-98.75,2009,5,2.7176522108263157e-05
35.25,-98.75,2009,6,2.3479472831411384e-05
35.25,-98.75,2009,7,2.6289278942215333e-05
35.25,-98.75,2009,8,4.884988866923811e-05
35.25,-98.75,2009,9,3.438932835417892e-05
35.25,-98.75,2010,5,4.598500642484213e-05
35.25,-98.75,2010,6,3.524841537007271e-05
35.25,-98.75,2010,7,3.044197240736901e-05
35.25,-98.75,2010,8,2.865498095899508e-05
35.25,-98.75,2010,9,3.750795596071064e-05
35.25,-98.25,2006,5,2.9015190142949392e-05
35.25,-98.25,2006,6,2.3100996547971892e-05
35.25,-98.25,2006,7,2.306889579599895e-05
35.25,-98.25,2006,8,3.279720260815982e-05
35.25,-98.25,2006,9,3.018550947994451e-05
35.25,-98.25,2007,5,5.990454509639764e-05
35.25,-98.25,2007,6,8.25464708256618e-05
35.25,-98.25,2007,7,3.7064724166485474e-05
35.25,-98.25,2007,8,3.51434827272838e-05
35.25,-98.25,2007,9,5.863853090068242e-05
35.25,-98.25,2008,5,3.9292493709346615e-05
35.25,-98.25,2008,6,4.8259422358990873e-05
35.25,-98.25,2008,7,9.434327603757662e-06
35.25,-98.25,2008,8,3.2998538076142926e-05
35.25,-98.25,2008,9,1.061496986583087e-05
35.25,-98.25,2009,5,3.209675136677821e-05
35.25,-98.25,2009,6,2.319640483842515e-05
35.25,-98.25,2009,7,2.4149543531023248e-05
35.25,-98.25,2009,8,4.2160058611036146e-05
35.25,-98.25,2009,9,4.134461007115174e-05
35.25,-98.25,2010,5,4.9711026713764094e-05
35.25,-98.25,2010,6,3.503481964907372e-05
35.25,-98.25,2010,7,6.704649612168365e-05
35.25,-98.25,2010,8,2.5346320376405585e-05
35.25,-98.25,2010,9,3.954406889228468e-05
35.25,-97.75,2006,5,3.5030045325131155e-05
35.25,-97.75,2006,6,2.8834736981053765e-05
35.25,-97.75,2006,7,2.5976803072176097e-05
35.25,-97.75,2006,8,3.9984547945200046e-05
35.25,-97.75,2006,9,3.678049817660659e-05
35.25,-97.75,2007,5,6.852515246630867e-05
35.25,-97.75,2007,6,9.945653560497666e-05
35.25,-97.75,2007,7,4.66146565107619e-05
35.25,-97.75,2007,8,4.538889876215535e-05
35.25,-97.75,2007,9,6.878880486264431e-05
35.25,-97.75,2008,5,5.3251499451560434e-05
35.25,-97.75,2008,6,5.6145649296842257e-05
35.25,-97.75,2008,7,1.010845187259461e-05
35.25,-97.75,2008,8,4.270782432850691e-05
35.25,-97.75,2008,9,1.0608845195612255e-05
35.25,-97.75,2009,5,4.4318930656297725e-05
35.25,-97.75,2009,6,1.997845422489301e-05
35.25,-97.75,2009,7,2.828781332862806e-05
35.25,-97.75,2009,8,5.1685489361039386e-05
35.25,-97.75,2009,9,5.092728769064397e-05
35.25,-97.75,2010,5,5.597260379233066e-05
35.25,-97.75,2010,6,4.4324670238158794e-05
35.25,-97.75,2010,7,3.3951384086295254e-05
35.25,-97.75,2010,8,3.1704321657380175e-05
35.25,-97.75,2010,9,4.831361132822815e-05
35.25,-97.25,2006,5,4.320535142271308e-05
35.25,-97.25,2006,6,3.0271290673529922e-05
35.25,-97.25,2006,7,2.458599454146701e-05
35.25,-97.25,2006,8,4.1766067393062884e-05
35.25,-97.25,2006,9,3.880482166174204e-05
35.25,-97.25,2007,5,8.248023918061028e-05
35.25,-97.25,2007,6,9.272307212822757e-05
35.25,-97.25,2007,7,4.980856122703503e-05
35.25,-97.25,2007,8,4.224729574439556e-05
35.25,-97.25,2007,9,6.748314946355785e-05
35.25,-97.25,2008,5,6.51988744556595e-05
35.25,-97.25,2008,6,5.9715706752309454e-05
35.25,-97.25,2008,7,1.2014428258746722e-05
35.25,-97.25,2008,8,4.28524498347442e-05
35.25,-97.25,2008,9,1.679655755585293e-05
35.25,-97.25,2009,5,4.668589434342699e-05
35.25,-97.25,2009,6,1.737404069448445e-05
35.25,-97.25,2009,7,2.9701799778333423e-05
35.25,-97.25,2009,8,5.335759562965431e-05
35.25,-97.25,2009,9,6.0177089161694666e-05
35.25,-97.25,2010,5,6.719610752940098e-05
35.25,-97.25,2010,6,5.1051457964877836e-05
35.25,-97.25,2010,7,3.1858360595399086e-05
35.25,-97.25,2010,8,3.360133814655616e-05
35.25,-97.25,2010,9,6.27195122172666e-05
35.25,-96.75,2006,5,4.733872560447686e-05
35.25,-96.75,2006,6,3.267046378307252e-05
35.25,-96.75,2006,7,2.380135752408632e-05
35.25,-96.75,2006,8,4.64883900152374e-05
35.25,-96.75,2006,9,3.9332605551815426e-05
35.25,-96.75,2007,5,7.196420748304292e-05
35.25,-96.75,2007,6,7.712961751380477e-05
35.25,-96.75,2007,7,4.850589644789238e-05
35.25,-96.75,2007,8,3.667116736385462e-05
35.25,-96.75,2007,9,6.348546985464054e-05
35.25,-96.75,2008,5,6.650361025652185e-05
35.25,-96.75,2008,6,6.284497884490037e-05
35.25,-96.75,2008,7,1.2667175509120039e-05
35.25,-96.75,2008,8,4.706082472132671e-05
35.25,-96.75,2008,9,2.8552686380040915e-05
35.25,-96.75,2009,5,5.064140889433955e-05
35.25,-96.75,2009,6,1.9329789998323578e-05
35.25,-96.75,2009,7,3.136309667714767e-05
35.25,-96.75,2009,8,5.232059625456719e-05
35.25,-96.75,2009,9,6.361332991989867e-05
35.25,-96.75,2010,5,6.791828009183657e-05
35.25,-96.75,2010,6,5.071986336285504e-05
35.25,-96.75,2010,7,3.334829957021431e-05
35.25,-96.75,2010,8,3.6725440661211424e-05
35.25,-96.75,2010,9,6.768093261432865e-05
35.25,-96.25,2006,5,5.2841463048850766e-05
35.25,-96.25,2006,6,3.654308252383961e-05
35.25,-96.25,2006,7,2.2605344112996078e-05
35.25,-96.25,2006,8,4.0559118362938675e-05
35.25,-96.25,2006,9,3.7727298951395485e-05
35.25,-96.25,2007,5,6.674025505874177e-05
35.25,-96.25,2007,6,7.731165389224988e-05
35.25,-96.25,2007,7,4.9149431777748985e-05
35.25,-96.25,2007,8,3.0055000087362175e-05
35.25,-96.25,2007,9,5.633769797235289e-05
35.25,-96.25,2008,5,6.798123570298054e-05
35.25,-96.25,2008,6,6.60786475492022e-05
35.25,-96.25,2008,7,1.390824499022499e-05
35.25,-96.25,2008,8,5.057559242196857e-05
35.25,-96.25,2008,9,3.756808960095788e-05
35.25,-96.25,2009,5,6.0677634216860055e-05
35.25,-96.25,2009,6,2.2477889018901466e-05
35.25,-96.25,2009,7,3.456923536026396e-05
